path	sentence	translation
common_voice_id_26208450.mp3	Sungainya kemudian berbelok ke barat daya dan memasuki kota madya Ashfield-Colborne-Wawanosh.	The River then flows west into the mad city of Ashfield-Colborne-Wawanosh.
common_voice_id_26208451.mp3	Itu sering dipasangkan dengan dan diikuti oleh jig atau gigue.	It's often accompanied by a jig or a giggle.
common_voice_id_26208452.mp3	"Robinson memetakan dan mencatat desa dengan nama ""Furnaceville"" untuk Tuan Otis."	"Robinson mapped and recorded a village called """" Furnaceville """" for Mr. Otis."
common_voice_id_26208453.mp3	Seorang pria di atas papan luncur melakukan trik di tempat landai.	There's a guy on the board, doing tricks on the board.
common_voice_id_26208470.mp3	Tiga hari kemudian, dia dibebaskan oleh the Clippers.	Three days later, he was released by the Clippers.
common_voice_id_26208471.mp3	Kerja bagus, Gussie.	Good job, Gussie.
common_voice_id_26208472.mp3	Kapitalis Michigan menginginkan Port Lawrence di wilayah “mereka”.	"Michigan capitalists wanted Port Lawrence as a """" free """" area."
common_voice_id_26208473.mp3	Ini bagian utara Denton.	This is north of Denton.
common_voice_id_26208526.mp3	Kamu tak perlu lagi bersusah hati.	You don't have to worry anymore.
common_voice_id_26208527.mp3	Seorang gadis berdiri di lapangan terbuka dengan memegang bola besar.	A girl stands on an open court with a big ball.
common_voice_id_26208528.mp3	Nama baru stasiun tersebut adalah Mix Megapol Radio City.	Their new name is Mix Megapol Radio City.
common_voice_id_26208529.mp3	"Beberapa dari mereka adalah ""Dirty Dancing"", ""Basic Instinct"", dan ""Total Recall""."	Some of them are Dirty Dancing, Basic Instinct and Total Recall.
common_voice_id_26208530.mp3	Ia benar-benar marah pada pria itu.	She was really mad at this guy.
common_voice_id_26208580.mp3	Seorang pria yang berpendidikan, dia adalah dekan sekolah misionaris.	He's ancient man. He's a dean of a missionary school.
common_voice_id_26208581.mp3	Sangat sulit untuk dijelaskan.	It's very difficult to explain.
common_voice_id_26208582.mp3	Dengan cara ini, keluarga dapat menjalankan kebiasaan mereka tanpa memasuki kamar jenazah.	In this way, families can follow their own habits without entering the morgue.
common_voice_id_26208583.mp3	Anda dan sayalah yang menjalankan Senat.	You and I run the Senate.
common_voice_id_26208584.mp3	Program Prestasi Akademik menyediakan alat tambahan kepada siswa yang berpartisipasi untuk berhasil di sekolah hukum.	Theory provides additional tools for students to participate in successful law schools.
common_voice_id_26208598.mp3	Warga daerah secara aktif berpartisipasi dalam Pemberontakan November dan Pemberontakan Januari.	Residents are actively participating in the November Uprising and the January Uprising.
common_voice_id_26208599.mp3	Esker dapat dideskripsikan sebagai gelombang berkelok panjang yang terdiri atas dari pasir dan kerikil.	Ice can be described as a long wave of sand and gravel.
common_voice_id_26208600.mp3	Anak laki-laki berkaus merah memegang kamera.	The guy in red is holding the camera.
common_voice_id_26208602.mp3	Ekonomi kesehatan mental menghadirkan serangkaian tantangan unik bagi para peneliti.	Theory of Mental Health presents researchers with a unique set of challenges.
common_voice_id_26208603.mp3	"Club dan ""Time Out"" New York."	Club and Time Out, New York.
common_voice_id_26208618.mp3	Setelah dinasnya di Senat, Bowring terus bertani di dekat Merriman.	After rising to the Senate, Bowring continued to farm near Merriman.
common_voice_id_26208620.mp3	Kereta beroperasi dari Bandara Manchester dan Preston ke Glasgow Central dan Edinburgh Waverley.	Trains operate from Manchester and Preston to Glasgow Central and Edinburgh Waverley.
common_voice_id_26208622.mp3	Johnson mendirikan firma kebijakan publik dan komunikasi publik, Janis Johnson and Associates, di Winnipeg.	Johnson founded the public policy and public communications firm, Janis Johnson and Associates, in Winnipeg.
common_voice_id_26208626.mp3	Juara kedua menerima hadiah uang tunai sebesar separuh dari jumlah hadiah pertama.	Their second prize was half of their first prize.
common_voice_id_26208658.mp3	Seorang pria dengan topi konstruksi terpasang sabuk pengaman.	A man in a construction hat with a seat belt.
common_voice_id_26208659.mp3	Grup tersebut berfungsi sebagai unit cadangan selama dua tahun kemudian dalam satu dekade.	That group served as a backup for two years later in a decade.
common_voice_id_26212975.mp3	"Dalam ""Young Hercules"", dia perankan oleh Dean O'Gorman."	"In ""Young Hercules,"" she was portrayed by Dean O'Gorman."
common_voice_id_26212977.mp3	Ku harap mereka menghentikan latihan mereka itu.	I hope they stop that exercise.
common_voice_id_26212978.mp3	Hidup secara universal dihormati, dan mati diratapi.	Life was universally respected, and death was in common.
common_voice_id_26212979.mp3	Wanita di ruang remang-remang memegang anak panah.	The women in the robbery room hold arrows.
common_voice_id_26212980.mp3	Sekelompok orang tua berkumpul di sekitar meja memandang ke kejauhan.	A group of parents gathered around a table and looked away.
common_voice_id_26212987.mp3	Salah satu artefak paling murni yang ditemukan di situs itu adalah tongkat uskup Whithorn.	One of the purest artifacts found on the site is the Whithorn Booth.
common_voice_id_26212988.mp3	Dalam hal ini, pindahlah ke tempat lain.	In this case, move to another place.
common_voice_id_26212989.mp3	Dia meninggalkan SMA untuk mengikuti kelas tari di Chicago.	She left high school to take a dance class in Chicago.
common_voice_id_26212990.mp3	Cage menyarankan Paik untuk memeriksa musik Oriental dan agama Oriental.	Cage suggested Paik examine Oriental music and Oriental religion.
common_voice_id_26212991.mp3	"Bagian kerangka dari bahan ini sering disebut dengan ""matriks"" atau ""bingkai""."	The skeleton part of this material is often called a matrix, or a frame.
common_voice_id_26213002.mp3	Ini terbuat dari baja karbon dengan pegangan plastik.	It's made of carbon steel with a plastic handle.
common_voice_id_26213003.mp3	Stafford berusaha untuk menyatukan pihak oposisi, namun usahanya gagal karena terlalu banyak perbedaan di antara kedua kubu.	Stafford tried to bring together the opposition, but he failed because there were too many differences between the two.
common_voice_id_26213004.mp3	Sekarang, Bintang Luyten bergerak menjauh dari Tata Surya.	Now, the Milky Way Galaxy is moving away from the Sun.
common_voice_id_26213005.mp3	Usai pemilihan berakhir, Roch ternyata tidak terpilih masuk ke dalam jajaran kabinet baru Filmon.	At the end of the election, Roch was not elected to the new cabinet of Filmon.
common_voice_id_26213006.mp3	Kemudian pada bulan yang sama, Terrell mendapatkan tiga hit lagi, termasuk sebuah three-run home run.	Then that same month, Terrell got three more hits, including a three-run home run.
common_voice_id_26213012.mp3	Livy memulai dengan imamat yang didirikan Numa.	Livy started with the imam that was founded by Noah.
common_voice_id_26213013.mp3	Ski ini melekat pada sepatu pemain ski.	It's mounted to the skier's shoes.
common_voice_id_26213014.mp3	Kini, nama itu diucapkan sama dengan “Hollywood”.	"Now, that word was pronounced """" Hollywood """"."
common_voice_id_26213015.mp3	Seorang pria berdiri di jalanan yang padat dengan gedung dan toko di belakangnya.	A man stands in a crowded street with buildings and shops behind him.
common_voice_id_26213300.mp3	Ini membuat Ira menghadiahi Donald bersaudara dengan nilai A, yang sangat menggembirakan mereka.	This got Ira to honor Donald's two A's, which they were very excited about.
common_voice_id_26213301.mp3	Kupu-kupu itu biasanya ditemukan di hutan yang lembap dan berguguran daunnya.	They're usually found in deciduous forests.
common_voice_id_26213302.mp3	Empat sampai enam telur ditaruh.	Four to six eggs were laid.
common_voice_id_26213303.mp3	Nampak seperti hanya beberapa menit.	It looks like it's just a few minutes.
common_voice_id_26213305.mp3	Yang pertama dikenal sebagai perikanan reduksi.	The first is known as shrinking fisheries.
common_voice_id_26213306.mp3	Pria ini terlihat sangat mirip, kecuali sekarang perannya terbalik.	This man looks very much like him, except now his role is reversed.
common_voice_id_26213307.mp3	Salah satu dari sepupunya yang kedua adalah mantan Perdana Menteri Inggris, David Cameron.	One of his second cousins was the former Prime Minister of the United Kingdom, David Cameron.
common_voice_id_26213308.mp3	Hanya edisi awal yang memiliki adaptor.	Only early versions had adaptors.
common_voice_id_26213309.mp3	Misalnya, setiap jenis mewarisi metode.	For example, any kind of inheritance method.
common_voice_id_26213310.mp3	Pandangannya tentang Marxisme memengaruhi Filippo Turati, yang menjadi pasangannya.	His views of Marxism influenced Filippo Turati, who became his partner.
common_voice_id_26213311.mp3	Dia mendukung sejumlah kontes berbicara bahasa asing.	He supported a number of foreign-language contests.
common_voice_id_26213312.mp3	Ini adalah piagam perusahaan kami.	This is our company charter.
common_voice_id_26213313.mp3	Akan tetapi, muncul keraguan pada teori ini.	However, there was some doubt about this theory.
common_voice_id_26213314.mp3	Penentuan ini membuat mereka berada di fase gugur, di mana dia kalah dari Ontario's Sherry Middaugh.	This giant put them in the finals, where they lost to Ontario's Sherry Middaugh.
common_voice_id_26213505.mp3	Dia telah lama bekerja sebagai gitaris untuk sesi rekaman.	He's been working as a recording guitarist for a long time.
common_voice_id_26213506.mp3	Tahun berikutnya Eastern Union Railway memulai pelayanan ke Norwich Victoria.	The following year, the Eastern Union Railway began service to Norwich Victoria.
common_voice_id_26213507.mp3	Tak seorang pun ingin mendengar pengumumannya.	Nobody wants to hear the announcement.
common_voice_id_26213508.mp3	Ia mendapatkan gelar Master of Arts.	He got a master's degree.
common_voice_id_26213509.mp3	Rayford Logan adalah profesor emeritus sejarah di Universitas Howard.	Rayford Logan is a professor of history at the University of Howard.
common_voice_id_26213520.mp3	Dia menyimpulkan bahwa itu adalah mereka.	He concluded that was them.
common_voice_id_26213521.mp3	Perlombaan untuk mengalahkan rekor waktu.	A race to beat a record time.
common_voice_id_26213522.mp3	Kartu yang tersisa ditempatkan di samping menghadap ke bawah.	The cards that were left were placed side-by-side.
common_voice_id_26213523.mp3	Semua versi mesin ini menggunakan deret waktu.	All versions of this machine use time strings.
common_voice_id_26213524.mp3	Ini merupakan titik di mana hidupnya mulai berubah.	This is the point at which life begins to change.
common_voice_id_26240329.mp3	Laktoferin terikat pada lipoprotein yang sama sehingga mengusir partikel virus.	Lactose is bound to the same lipoprotein so as to expel virus particles.
common_voice_id_26240330.mp3	Tak lama kemudian para pelopor yang berasal dari Widham County, Vermont tiba dan mendirikan gereja Baptis.	Shortly thereafter, reporters from Widham County, Vermont, came and founded the Baptist Church.
common_voice_id_26240331.mp3	Belakangan, Perazich bekerja untuk Divisi Rehabilitasi Industri di Misi Yugoslavia.	More recently, Perazich worked for the Yugoslav Ministry of Industrial Rehabilitation.
common_voice_id_26240332.mp3	Jika periodenya lebih panjang, pengecekan teratur harus diadakan jika ditemukan polimer.	If the period is longer, then regular inspections are required if a polymer is found.
common_voice_id_26240338.mp3	Barrington dan Jervis, Earl Saint Vincent berikutnya tetap berteman baik sepanjang hidup mereka.	Barrington and Jervis, the next Earl Saint Vincent stayed in touch for the rest of their lives.
common_voice_id_26240339.mp3	Hubaekje tidak hanya terguncang karena kekalahan militer, namun juga kondisi internal kerajaan yang mengalami kekacauan.	Hubaekje was shaken not only by the military's defeat, but by the state of affairs inside the empire itself.
common_voice_id_26240340.mp3	Fasilitas untuk sekolah dasar dan menengah dipisahkan.	Their primary and secondary schools were separated.
common_voice_id_26240341.mp3	Tukang las mengelas balok ke tempatnya sementara pekerja lainnya menyusun balok.	The carpenter plowed the bricks where the other workers plowed the bricks.
common_voice_id_26240342.mp3	Siapa yang Melakukannya?	Who did it?
common_voice_id_26240348.mp3	"Ini adalah varian ""Labidochromis caeruleus"" yang terbentuk secara alami."	This is a naturally occurring variant of Labidochromis caeruleus.
common_voice_id_26240349.mp3	Sekolah ini dianugerahi status spesialis Sekolah Tinggi Teknologi dan Olahraga.	It's accredited as a High School of Technology and Sports.
common_voice_id_26240350.mp3	Mereka hanya pernah merekam satu lagu, berjudul “Trip to Orion.”	"They only recorded one song, which was called ""Trip to Orion."""
common_voice_id_26240351.mp3	Meskipun begitu, sekolah kemudian hancur saat Jepang menginvasi Klang.	However, the school then collapsed when Japan invaded Klang.
common_voice_id_26240352.mp3	Kedai tua lainnya adalah Ingleside, yang sekarang dibangun kembali sebagai toko roti Ingleside.	Another old bridge was the English, which is now being rebuilt as the English bakery.
common_voice_id_26240353.mp3	Kota ini dikenal sebagai Kahlberg selama masa tersebut.	It was known as Kahlberg during that time.
common_voice_id_26240354.mp3	"Dia juga tampil di acara ""So You Wanna be a Popstar?"""	"She also appeared on ""So You Wanna Be a Popstar?"""
common_voice_id_26240355.mp3	Dia adalah pencipta model sejarah O'Rahilly yang memiliki warisan campuran.	He was the inventor of the O'Rahilly historical model with a mixed legacy.
common_voice_id_26240356.mp3	Timaru adalah pelabuhan ikan terbesar kedua di Selandia Baru.	Timaru is the second largest fishing port in New Zealand.
common_voice_id_26240393.mp3	Dia merupakan anak kedua dari tiga bersaudari.	She's the second of three siblings.
common_voice_id_26240394.mp3	Aku bisa menulis buku tentang itu.	I could write a book about it.
common_voice_id_26240395.mp3	Lebar ban bergantung pada ukuran mesin mobil.	It depends on the size of the engine.
common_voice_id_26240401.mp3	Seorang pria dan wanita di luar mobil yang penuh dengan barang.	There's a man and a woman outside with a lot of stuff.
common_voice_id_26240402.mp3	Pesawat petarung itu merupakan pesawat petarung pertama yang seluruhnya dari logam di Angkatan Udara Kerajaan Inggris.	It was the first fully metal jet in the U.K. Air Force.
common_voice_id_26240403.mp3	Dan yang kaupilihkan untukku adalah hal-hal tentang perbudakan dan ketakutan!	And what's striking to me are the things about slavery and fear!
common_voice_id_26240404.mp3	Kemenangan Brasil atas tuan rumah membantu membawa mereka ke final melawan Italia.	Brazil's victory over the host helped bring them to the final against Italy.
common_voice_id_26240405.mp3	"Ini ditarik, kata Jo, ""seberat gerobak."""	"Here it is, said Jo, ""only the wheels."""
common_voice_id_26240406.mp3	Kau terlihat mudah mual siang ini, ia memulai.	You look easy this afternoon, he begins.
